Region,Territory,"Pricing, Delivery_Terms_Quote_Appr","Pricing, Delivery_Terms_Approved",Bureaucratic_Code_0_Approval,Bureaucratic_Code_0_Approved,Submitted_for_Approval,Bureaucratic_Code,Account_Created_Date,Source ,Billing_Country,Account_Name,Opportunity_ID,Account_Owner,Opportunity_Owner,Account_Type,Opportunity_Type,Delivery_Terms,Opportunity_Created_Date,Quote_Expiry_Date,Last_Modified_Date,Last_Modified_By,Product_Family,Product_Name,ASP_Currency,ASP,ASP_(converted),Planned_Delivery_Start_Date,Planned_Delivery_End_Date,Month,Delivery_Quarter,Delivery_Year,TRF,Total_Amount_Currency,Total_Amount,Total_Taxable_Amount_Currency,Total_Taxable_Amount,Stage,Fecha
0.0,0.0,1,1,1,1,0,0.0,5645,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5819,5873.0,6008,0.0,0.0,0.0,0.0,0.52,0.58817,5965,6025.0,5965,0.0,2016,10,0.0,5272800.0,0.0,5272800.0,Closed Lost,2015-12-07
0.0,0.0,0,0,0,0,0,0.0,5645,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,5819,5863.0,5858,0.0,0.0,0.0,0.0,0.53,0.59948,5861,5863.0,5844,0.0,2016,0,0.0,48230.0,0.0,48230.0,Closed Won,2015-12-07
0.0,0.0,0,0,0,0,0,0.5,5589,0.0,0.0,0.0,2,0.0,0.0,0.0,0.5,0.0,5820,6117.0,6116,0.0,0.0,0.0,0.0,0.48,0.48,5868,5868.0,5844,1.0,2016,0,0.0,83865.6,0.0,83865.6,Closed Won,2015-12-08
1.0,1.0,1,0,1,0,0,0.0,4956,0.0,1.0,0.0,3,0.0,1.0,1.0,0.0,0.0,5820,0.0,6660,1.0,0.0,0.0,1.0,0.53,0.53,6606,6664.0,6606,1.0,2018,14,1.0,7421881.5,1.0,7421881.5,Closed Lost,2015-12-08
0.5,0.5,1,0,1,0,0,0.0,4956,0.0,0.5,0.0,4,0.0,0.5,0.5,0.0,0.0,5820,6362.0,6660,0.5,0.0,0.0,0.5,0.53,0.53,6606,6633.0,6606,0.6666666666666666,2018,25,0.5,13357192.5,0.5,13357192.5,Closed Lost,2015-12-08
0.3333333333333333,0.3333333333333333,1,0,1,0,0,0.0,4956,0.0,0.3333333333333333,0.0,5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,5820,6362.0,6660,0.3333333333333333,0.0,0.0,0.3333333333333333,0.53,0.53,6606,6664.0,6606,0.5,2018,28,0.3333333333333333,14838277.5,0.3333333333333333,14838277.5,Closed Lost,2015-12-08
0.25,0.25,1,0,1,0,0,0.0,4956,0.0,0.25,0.0,6,0.0,0.25,0.25,0.0,1.0,5820,0.0,6124,0.25,0.0,0.0,0.25,0.38,0.38,6241,6330.0,6241,0.4,2017,7,0.25,2659494.6,0.25,2659494.6,Closed Lost,2015-12-08
0.2,0.2,1,1,1,1,0,0.6666666666666666,5589,1.0,0.2,1.0,7,1.0,0.2,0.2,0.6666666666666666,0.5,5821,5850.0,5821,0.2,0.0,0.0,0.2,0.48,0.48,5868,5868.0,5844,0.3333333333333333,2016,0,0.2,50688.0,0.2,50688.0,Closed Won,2015-12-09
0.0,0.5,1,0,0,0,0,0.0,5588,0.5,0.0,0.0,8,0.0,0.0,0.5,0.0,0.6666666666666666,5821,0.0,5939,0.0,0.0,0.0,0.0,0.0,0.0,5903,5903.0,5875,0.42857142857142855,2016,0,0.0,15600.0,0.0,470400.0,Closed Lost,2015-12-09
0.0,0.3333333333333333,1,0,0,0,0,0.0,5588,0.3333333333333333,0.0,0.0,8,0.0,0.0,0.3333333333333333,0.0,0.5,5821,0.0,5939,0.0,0.0,0.0,0.0,0.0,0.0,5903,5903.0,5875,0.375,2016,0,0.0,4400.0,0.0,470400.0,Closed Lost,2015-12-09
0.0,0.25,1,0,0,0,0,0.0,5588,0.25,0.0,0.0,8,0.0,0.0,0.25,0.0,0.4,5821,0.0,5939,0.0,0.0,0.0,0.0,0.0,0.0,5903,5903.0,5875,0.3333333333333333,2016,0,0.0,6200.0,0.0,470400.0,Closed Lost,2015-12-09
0.0,0.2,1,0,0,0,0,0.0,5588,0.2,0.0,0.0,8,0.0,0.0,0.2,0.0,0.3333333333333333,5821,0.0,5939,0.0,0.0,0.0,0.0,0.0,0.0,5903,5903.0,5875,0.3,2016,0,0.0,140000.0,0.0,470400.0,Closed Lost,2015-12-09
0.0,0.16666666666666666,1,0,0,0,0,0.0,5588,0.16666666666666666,0.0,0.0,8,0.0,0.0,0.16666666666666666,0.0,0.2857142857142857,5821,0.0,5939,0.0,0.5,1.0,0.0,78.0,0.70125,5903,5903.0,5875,0.2727272727272727,2016,0,0.0,304200.0,0.0,470400.0,Closed Lost,2015-12-09
0.0,0.14285714285714285,1,0,0,0,0,0.0,5588,0.14285714285714285,0.0,0.0,9,0.0,0.0,0.14285714285714285,0.0,0.25,5821,0.0,5939,0.0,0.0,0.0,0.0,0.0,0.0,5903,5903.0,5875,0.25,2016,0,0.0,23400.0,0.0,559320.0,Closed Lost,2015-12-09
0.0,0.125,1,0,0,0,0,0.0,5588,0.125,0.0,0.0,9,0.0,0.0,0.125,0.0,0.2222222222222222,5821,0.0,5939,0.0,0.0,0.0,0.0,0.0,0.0,5903,5903.0,5875,0.23076923076923078,2016,0,0.0,4400.0,0.0,559320.0,Closed Lost,2015-12-09
0.0,0.1111111111111111,1,0,0,0,0,0.0,5588,0.1111111111111111,0.0,0.0,9,0.0,0.0,0.1111111111111111,0.0,0.2,5821,0.0,5939,0.0,0.0,0.0,0.0,0.0,0.0,5903,5903.0,5875,0.21428571428571427,2016,0,0.0,6200.0,0.0,559320.0,Closed Lost,2015-12-09
0.0,0.1,1,0,0,0,0,0.0,5588,0.1,0.0,0.0,9,0.0,0.0,0.1,0.0,0.18181818181818182,5821,0.0,5939,0.0,0.0,0.0,0.0,0.0,0.0,5903,5903.0,5875,0.2,2016,0,0.0,140000.0,0.0,559320.0,Closed Lost,2015-12-09
