Opportunity_ID,Target
10689,0.9852323376276028
10690,0.9862123172547286
10691,0.9687879350385572
10692,0.8551318264959754
10693,0.9521670134875584
10694,0.9521670134875584
10695,0.1344927013026399
10696,0.1344927013026399
10697,0.0987975873433027
10698,0.1871946583563571
10699,0.1871946583563571
10700,0.15658636480884816
10701,0.15658636480884816
10702,0.1871946583563571
10703,0.15658636480884816
10704,0.9923477087341376
10705,0.9868098437876802
10706,0.6464080537421703
10707,0.19172527667639055
10708,0.7180281902234242
10709,0.9943512529189287
10710,0.20432880106356832
10711,0.3572508688661301
10712,0.9940572119754407
10713,0.19368041776956896
10714,0.7456862416222874
10715,0.8700031834197228
10716,0.9961005394694867
10717,0.16709264510244554
10718,0.9885297130227964
10719,0.9452229173625917
10720,0.0875087309202591
10721,0.7347730192910337
10722,0.9876042573951553
10723,0.7552550169933844
10724,0.9903538061337288
10725,0.871947161404945
10726,0.5192832861758276
10727,0.636563840530454
10728,0.8654090424288532
10729,0.9885974040066299
10730,0.7888419538415078
10731,0.8111879258920958
10732,0.44939693891340543
10733,0.44939693891340543
10734,0.1481877592919231
10735,0.9736081345843569
10736,0.9798865043167191
10737,0.9018687527072663
10738,0.9558239319164954
10739,0.7179721239642995
10740,0.0900011288461854
10741,0.9544336649312553
10742,0.9658934202022067
10743,0.9759052694478461
10744,0.9370545523688939
10745,0.9370545523688939
10746,0.7015495815247997
10747,0.7015495815247997
10748,0.9350810933044211
10749,0.9911109973060994
10750,0.12734607860893143
10751,0.8115307946976731
10752,0.8115307946976731
10753,0.8031138410703873
10754,0.9905683625292948
10755,0.9924430427650459
10756,0.9879449638210702
10757,0.6005024323124264
10758,0.6861864393928317
10759,0.9199262980590898
10760,0.4587437443603143
10761,0.9872727050239216
10762,0.9887194930747389
10763,0.9851260386038565
10764,0.9701806164513246
10765,0.10806852823072666
10766,0.7601853269368322
10767,0.9901275703031719
10768,0.921969883081553
10769,0.11675530017986835
10770,0.12091098140172045
10771,0.040727621250512096
10772,0.969424081789429
10773,0.904303328476599
10774,2.6620836756464685e-30
